clients_count,epochs,batch_size,round,nmi,ari,accuracy,test_accuracy
10,300,64,2,0.0,0.0,0.78298,0.76271
10,300,64,3,0.0,0.0,0.78298,0.76271
10,300,64,4,0.0,0.0,0.78298,0.76271
10,300,64,5,0.0,0.0,0.78298,0.76271
10,300,64,6,0.0,0.0,0.78298,0.76271
10,300,64,7,0.0,0.0,0.78298,0.76271
10,300,64,8,0.0,0.0,0.78298,0.76271
10,300,64,9,0.0,0.0,0.78298,0.76271
10,300,64,10,0.0,0.0,0.78298,0.76271
10,300,64,11,0.0,0.0,0.78298,0.76271
10,300,64,12,0.0,0.0,0.78298,0.76271
10,300,64,13,0.0,0.0,0.78298,0.76271
10,300,64,14,0.0,0.0,0.78298,0.76271
10,300,64,15,0.0,0.0,0.78298,0.76271
10,300,64,16,0.0,0.0,0.78298,0.76271
10,300,64,17,0.0,0.0,0.78298,0.76271
10,300,64,18,0.0,0.0,0.78298,0.76271
10,300,64,19,0.0,0.0,0.78298,0.76271
10,300,64,20,0.0,0.0,0.78298,0.76271
10,300,64,21,0.0,0.0,0.78298,0.76271
10,300,64,22,0.0,0.0,0.78298,0.76271
10,300,64,23,0.0,0.0,0.78298,0.76271
10,300,64,24,0.0,0.0,0.78298,0.76271
10,300,64,25,0.0,0.0,0.78298,0.76271
10,300,64,26,0.0,0.0,0.78298,0.76271
10,300,64,27,0.0,0.0,0.78298,0.76271
10,300,64,28,0.0,0.0,0.78298,0.76271
10,300,64,29,0.0,0.0,0.78298,0.76271
10,300,64,30,0.0,0.0,0.78298,0.76271
10,300,64,31,0.0,0.0,0.78298,0.76271
10,300,64,32,0.0,0.0,0.78298,0.76271
10,300,64,33,0.0,0.0,0.78298,0.76271
10,300,64,34,0.0,0.0,0.78298,0.76271
10,300,64,35,0.0,0.0,0.78298,0.76271
10,300,64,36,0.0,0.0,0.78298,0.76271
10,300,64,37,0.0,0.0,0.78298,0.76271
10,300,64,38,0.0,0.0,0.78298,0.76271
10,300,64,39,0.0,0.0,0.78298,0.76271
10,300,64,40,0.0,0.0,0.78298,0.76271
10,300,64,41,0.0,0.0,0.78298,0.76271
10,300,64,42,0.0,0.0,0.78298,0.76271
10,300,64,43,0.0,0.0,0.78298,0.76271
10,300,64,44,0.0,0.0,0.78298,0.76271
10,300,64,45,0.0,0.0,0.78298,0.76271
10,300,64,46,0.0,0.0,0.78298,0.76271
10,300,64,47,0.0,0.0,0.78298,0.76271
10,300,64,48,0.0,0.0,0.78298,0.76271
10,300,64,49,0.0,0.0,0.78298,0.76271
10,300,64,50,0.0,0.0,0.78298,0.76271
10,300,64,51,0.0,0.0,0.78298,0.76271
10,300,64,52,0.0,0.0,0.78298,0.76271
10,300,64,53,0.0,0.0,0.78298,0.76271
10,300,64,54,0.0,0.0,0.78298,0.76271
10,300,64,55,0.0,0.0,0.78298,0.76271
10,300,64,56,0.0,0.0,0.78298,0.76271
10,300,64,57,0.0,0.0,0.78298,0.76271
10,300,64,58,0.0,0.0,0.78298,0.76271
10,300,64,59,0.0,0.0,0.78298,0.76271
10,300,64,60,0.0,0.0,0.78298,0.76271
10,300,64,61,0.0,0.0,0.78298,0.76271
10,300,64,62,0.0,0.0,0.78298,0.76271
10,300,64,63,0.0,0.0,0.78298,0.76271
10,300,64,64,0.0,0.0,0.78298,0.76271
10,300,64,65,0.0,0.0,0.78298,0.76271
10,300,64,66,0.0,0.0,0.78298,0.76271
10,300,64,67,0.0,0.0,0.78298,0.76271
10,300,64,68,0.0,0.0,0.78298,0.76271
10,300,64,69,0.0,0.0,0.78298,0.76271
10,300,64,70,0.0,0.0,0.78298,0.76271
10,300,64,71,0.0,0.0,0.78298,0.76271
10,300,64,72,0.0,0.0,0.78298,0.76271
10,300,64,73,0.0,0.0,0.78298,0.76271
10,300,64,74,0.0,0.0,0.78298,0.76271
10,300,64,75,0.0,0.0,0.78298,0.76271
10,300,64,76,0.0,0.0,0.78298,0.76271
10,300,64,77,0.0,0.0,0.78298,0.76271
10,300,64,78,0.0,0.0,0.78298,0.76271
10,300,64,79,0.0,0.0,0.78298,0.76271
10,300,64,80,0.0,0.0,0.78298,0.76271
10,300,64,81,0.0,0.0,0.78298,0.76271
10,300,64,82,0.0,0.0,0.78298,0.76271
10,300,64,83,0.0,0.0,0.78298,0.76271
10,300,64,84,0.0,0.0,0.78298,0.76271
10,300,64,85,0.0,0.0,0.78298,0.76271
10,300,64,86,0.0,0.0,0.78298,0.76271
10,300,64,87,0.0,0.0,0.78298,0.76271
10,300,64,88,0.0,0.0,0.78298,0.76271
10,300,64,89,0.0,0.0,0.78298,0.76271
