clients_count,epochs,batch_size,round,nmi,ari,accuracy
10,200,64,1,0,0,0.64103
10,200,64,2,0,0,0.64103
10,200,64,3,0,0,0.64103
10,200,64,4,0,0,0.64103
10,200,64,5,0,0,0.64103
10,200,64,6,0,0,0.64103
10,200,64,7,0,0,0.64103
10,200,64,8,0,0,0.64103
10,200,64,9,0,0,0.64103
10,200,64,10,0,0,0.64103
10,200,64,11,0,0,0.64103
10,200,64,12,0,0,0.64103
10,200,64,13,0,0,0.64103
10,200,64,14,0,0,0.64103
10,200,64,15,0,0,0.64103
10,200,64,16,0,0,0.64103
10,200,64,17,0,0,0.64103
10,200,64,18,0,0,0.64103
10,200,64,19,0,0,0.64103
10,200,64,20,0,0,0.64103
10,200,64,21,0,0,0.64103
10,200,64,22,0,0,0.64103
10,200,64,23,0,0,0.64103
10,200,64,24,0,0,0.64103
10,200,64,25,0.18327,0.13477,0.71795
10,200,64,26,0.14408,0.20269,0.74359
10,200,64,27,0.20973,0.25495,0.76923
10,200,64,28,0.14408,0.20269,0.74359
10,200,64,29,0.20973,0.25495,0.76923
10,200,64,30,0.04078,0.02972,0.61538
10,200,64,31,0.20973,0.25495,0.76923
10,200,64,32,0.23572,0.18937,0.74359
10,200,64,33,0.20973,0.25495,0.76923
10,200,64,34,0.16209,0.19658,0.74359
10,200,64,35,0.23572,0.18937,0.74359
10,200,64,36,0.16209,0.19658,0.74359
10,200,64,37,0.18327,0.13477,0.71795
10,200,64,38,0.1169,0.14303,0.71795
10,200,64,39,0.18327,0.13477,0.71795
10,200,64,40,0.23572,0.18937,0.74359
10,200,64,41,0.18327,0.13477,0.71795
10,200,64,42,0.18327,0.13477,0.71795
10,200,64,43,0.18327,0.13477,0.71795
10,200,64,44,0.18327,0.13477,0.71795
10,200,64,45,0.18327,0.13477,0.71795
10,200,64,46,0.18327,0.13477,0.71795
10,200,64,47,0.23572,0.18937,0.74359
10,200,64,48,0.18327,0.13477,0.71795
10,200,64,49,0.18327,0.13477,0.71795
10,200,64,50,0.23572,0.18937,0.74359
10,200,64,51,0.18327,0.13477,0.71795
10,200,64,52,0.18327,0.13477,0.71795
10,200,64,53,0.18327,0.13477,0.71795
10,200,64,54,0.23572,0.18937,0.74359
10,200,64,55,0.2877,0.24876,0.76923
10,200,64,56,0.18327,0.13477,0.71795
10,200,64,57,0.18327,0.13477,0.71795
10,200,64,58,0.23572,0.18937,0.74359
10,200,64,59,0.18327,0.13477,0.71795
10,200,64,60,0.18327,0.13477,0.71795
10,200,64,61,0.18327,0.13477,0.71795
10,200,64,62,0.18327,0.13477,0.71795
10,200,64,63,0.23572,0.18937,0.74359
10,200,64,64,0.18327,0.13477,0.71795
10,200,64,65,0.23572,0.18937,0.74359
10,200,64,66,0.23572,0.18937,0.74359
10,200,64,67,0.18327,0.13477,0.71795
10,200,64,68,0.23572,0.18937,0.74359
10,200,64,69,0.23572,0.18937,0.74359
10,200,64,70,0.23572,0.18937,0.74359
10,200,64,71,0.23572,0.18937,0.74359
10,200,64,72,0.18327,0.13477,0.71795
10,200,64,73,0.18327,0.13477,0.71795
10,200,64,74,0.18327,0.13477,0.71795
10,200,64,75,0.18327,0.13477,0.71795
10,200,64,76,0.23572,0.18937,0.74359
10,200,64,77,0.23572,0.18937,0.74359
10,200,64,78,0.18327,0.13477,0.71795
10,200,64,79,0.18327,0.13477,0.71795
10,200,64,80,0.18327,0.13477,0.71795
10,200,64,81,0.18327,0.13477,0.71795
10,200,64,82,0.18327,0.13477,0.71795
10,200,64,83,0.23572,0.18937,0.74359
10,200,64,84,0.18327,0.13477,0.71795
10,200,64,85,0.18327,0.13477,0.71795
10,200,64,86,0.18327,0.13477,0.71795
10,200,64,87,0.23572,0.18937,0.74359
10,200,64,88,0.18327,0.13477,0.71795
10,200,64,89,0.18327,0.13477,0.71795
10,200,64,90,0.18327,0.13477,0.71795
10,200,64,91,0.23572,0.18937,0.74359
10,200,64,92,0.12876,0.08499,0.69231
10,200,64,93,0.18327,0.13477,0.71795
10,200,64,94,0.18327,0.13477,0.71795
10,200,64,95,0.18327,0.13477,0.71795
10,200,64,96,0.18327,0.13477,0.71795
10,200,64,97,0.18327,0.13477,0.71795
10,200,64,98,0.2877,0.24876,0.76923
10,200,64,99,0.2877,0.24876,0.76923
10,200,64,100,0.23572,0.18937,0.74359
10,200,64,101,0.16209,0.19658,0.74359
10,200,64,102,0.23572,0.18937,0.74359
10,200,64,103,0.12876,0.08499,0.69231
10,200,64,104,0.2877,0.24876,0.76923
10,200,64,105,0.16209,0.19658,0.74359
10,200,64,106,0.18327,0.13477,0.71795
10,200,64,107,0.23572,0.18937,0.74359
10,200,64,108,0.23572,0.18937,0.74359
10,200,64,109,0.18327,0.13477,0.71795
10,200,64,110,0.2877,0.24876,0.76923
10,200,64,111,0.12876,0.08499,0.69231
10,200,64,112,0.12876,0.08499,0.69231
10,200,64,113,0.18327,0.13477,0.71795
10,200,64,114,0.12876,0.08499,0.69231
10,200,64,115,0.16209,0.19658,0.74359
10,200,64,116,0.23572,0.18937,0.74359
