features,Gamma,Epochs,lr,NMI,ARI,Train_accuracy,Test_accuracy,NMI_Test,ARI_Test,AMI,AMI_test,timesteps
60,0.0,200.00,0.00,0.00,0.00,0.21,0.20,0.00,0.00,0.00,0.00,128
60,0.5,200.00,0.00,0.50,0.67,0.92,0.91,0.42,0.61,0.50,0.42,128
60,1.0,200.00,0.00,0.42,0.60,0.90,0.91,0.43,0.61,0.42,0.43,128
60,3.0,200.00,0.00,0.56,0.73,0.94,0.92,0.45,0.64,0.56,0.45,128
60,5.0,200.00,0.00,0.41,0.59,0.90,0.91,0.43,0.61,0.41,0.43,128
60,6.0,200.00,0.00,0.47,0.65,0.91,0.91,0.46,0.64,0.47,0.46,128
60,7.0,200.00,0.00,0.46,0.64,0.91,0.90,0.42,0.59,0.46,0.41,128
60,9.0,200.00,0.00,0.43,0.61,0.90,0.88,0.35,0.52,0.43,0.35,128
60,10.0,200.00,0.00,0.53,0.70,0.93,0.90,0.39,0.57,0.53,0.39,128
60,12.0,200.00,0.00,0.44,0.62,0.91,0.90,0.42,0.60,0.44,0.42,128
40,0.0,200.00,0.00,0.01,-0.02,0.45,0.43,0.00,0.00,0.01,0.00,128
40,0.5,200.00,0.00,0.34,0.52,0.89,0.89,0.35,0.53,0.34,0.35,128
40,1.0,200.00,0.00,0.42,0.60,0.91,0.90,0.37,0.56,0.42,0.37,128
40,3.0,200.00,0.00,0.32,0.50,0.88,0.86,0.26,0.45,0.32,0.26,128
40,5.0,200.00,0.00,0.39,0.56,0.90,0.88,0.31,0.50,0.38,0.31,128
40,6.0,200.00,0.00,0.55,0.72,0.93,0.88,0.32,0.51,0.55,0.32,128
40,7.0,200.00,0.00,0.41,0.58,0.90,0.89,0.35,0.53,0.41,0.35,128
40,9.0,200.00,0.00,0.41,0.58,0.90,0.90,0.38,0.56,0.41,0.38,128
40,10.0,200.00,0.00,0.41,0.59,0.90,0.88,0.31,0.50,0.41,0.31,128
40,12.0,200.00,0.00,0.41,0.60,0.90,0.90,0.38,0.57,0.41,0.38,128
80,0.0,200.00,0.00,0.00,0.00,0.79,0.82,0.00,0.00,0.00,0.00,128
80,0.5,200.00,0.00,0.44,0.62,0.91,0.91,0.40,0.58,0.44,0.39,128
80,1.0,200.00,0.00,0.42,0.59,0.90,0.90,0.34,0.53,0.42,0.34,128
80,3.0,200.00,0.00,0.41,0.58,0.90,0.90,0.37,0.54,0.41,0.37,128
80,5.0,200.00,0.00,0.45,0.63,0.91,0.88,0.32,0.51,0.45,0.32,128
80,6.0,200.00,0.00,0.46,0.64,0.91,0.90,0.38,0.57,0.46,0.38,128
80,7.0,200.00,0.00,0.45,0.63,0.91,0.90,0.36,0.55,0.45,0.36,128
80,9.0,200.00,0.00,0.48,0.66,0.92,0.90,0.38,0.57,0.48,0.38,128
80,10.0,200.00,0.00,0.48,0.65,0.92,0.90,0.37,0.56,0.48,0.36,128
80,12.0,200.00,0.00,0.58,0.72,0.93,0.89,0.34,0.53,0.58,0.34,128
