dataset,features,duration,gamma,epochs,nmi,ari,acc,testAcc,nmi_test,ari_test,ami,ami_test,timesteps,
physionet,20,3,1,200,0.33264,0.50995,0.87461,0.875,0.33737,0.5099,0.33239,0.33637,128,
physionet,20,5,1,200,0.31232,0.49562,0.8777,0.88272,0.33813,0.51742,0.31205,0.33708,128,
physionet,20,10,1,200,0.41934,0.5868,0.90239,0.89969,0.33008,0.52106,0.4191,0.32882,128,
physionet,40,3,1,200,0.45315,0.63215,0.91435,0.8966,0.39378,0.57003,0.45293,0.39282,128,
physionet,40,5,1,200,0.45964,0.64035,0.91628,0.88426,0.35876,0.53007,0.45943,0.35776,128,
physionet,40,10,1,200,0.46241,0.63981,0.91397,0.90278,0.3764,0.56907,0.4622,0.37534,128,
physionet,60,3,1,200,0.38938,0.57029,0.89776,0.87037,0.27288,0.45268,0.38913,0.27166,128,
physionet,60,5,1,200,0.58154,0.7456,0.94136,0.89506,0.39479,0.57263,0.58138,0.39386,128,
physionet,60,10,1,200,0.48048,0.65766,0.91782,0.89506,0.3782,0.56452,0.48028,0.37722,128,
physionet,80,3,1,200,0.42428,0.60726,0.90548,0.88272,0.33738,0.52161,0.42406,0.33634,128,
physionet,80,5,1,200,0.6113,0.76798,0.94637,0.89198,0.36866,0.55467,0.61115,0.36767,128,
physionet,80,10,1,200,0.58558,0.74913,0.94213,0.89352,0.40407,0.57954,0.58542,0.4032,128,
physionet,20,10,3,200,0.24203,0.39362,0.83218,0.82716,0.24733,0.38324,0.24176,0.24625,128,
physionet,20,10,5,200,0.22557,0.38323,0.8534,0.85802,0.22554,0.39719,0.22524,0.22419,128,
physionet,20,3,3,200,0.21447,0.38314,0.84992,0.83488,0.18768,0.35021,0.21414,0.18636,128,
physionet,20,3,5,200,0,0,0.7963,0.78858,0,0,0,0,128,
physionet,20,5,3,200,0,0,0.78511,0.83333,0,0,0,0,128,
physionet,20,5,5,200,0.44274,0.61698,0.90432,0.88117,0.29072,0.48357,0.44254,0.28951,128,
physionet,40,10,3,200,0.38349,0.56877,0.8966,0.88272,0.34666,0.52746,0.38325,0.34565,128,
physionet,40,10,5,200,0.39878,0.58287,0.89853,0.87346,0.31338,0.49262,0.39855,0.31231,128,
physionet,40,3,3,200,0.50929,0.67109,0.91975,0.86883,0.34442,0.50802,0.50911,0.3435,128,
physionet,40,3,5,200,0.61397,0.76967,0.94792,0.89815,0.41132,0.58171,0.61382,0.4104,128,
physionet,40,5,3,200,0.49874,0.67306,0.92207,0.88117,0.30082,0.49216,0.49855,0.29965,128,
physionet,40,5,5,200,0.01134,0.0105,0.79051,0.82099,0.01094,0.01088,0.01047,0.00795,128,
physionet,60,10,3,200,0.4711,0.64913,0.91705,0.8858,0.34099,0.52794,0.4709,0.33995,128,
physionet,60,10,5,200,0.52125,0.69287,0.92824,0.875,0.2999,0.48532,0.52107,0.29878,128,
physionet,60,3,3,200,0.30886,0.49255,0.87384,0.87809,0.34118,0.51992,0.3086,0.34019,128,
physionet,60,3,5,200,0.48246,0.65222,0.91512,0.88889,0.39946,0.56889,0.48227,0.39859,128,
physionet,60,5,3,200,0.55813,0.72464,0.93557,0.89815,0.3784,0.5672,0.55796,0.3774,128,
physionet,60,5,5,200,0.53702,0.70716,0.93094,0.88117,0.31752,0.50547,0.53684,0.31642,128,
physionet,80,10,3,200,0.00476,0.00443,0.79552,0.79475,0,0,0.00392,0,128,
physionet,80,10,5,200,0.38786,0.56514,0.89082,0.8534,0.27897,0.44616,0.38763,0.27791,128,
physionet,80,3,3,200,0.49415,0.66274,0.91744,0.88889,0.37303,0.55298,0.49397,0.37208,128,
physionet,80,3,5,200,0.64657,0.79517,0.95293,0.8966,0.38853,0.57353,0.64644,0.38758,128,
physionet,80,5,3,200,0.63087,0.78363,0.95023,0.89506,0.41272,0.58722,0.63072,0.41187,128,
physionet,80,5,5,200,0.60059,0.76097,0.9456,0.90123,0.42821,0.59955,0.60043,0.42735,128,
pascal,20,10,3,500,0.02042,0.03226,0.67431,0.57798,0.00635,0.00724,0.01743,-0.00601,128,
pascal,20,10,5,500,0.07747,0.14707,0.70183,0.6789,0.08493,0.11922,0.07576,0.07847,128,
pascal,20,3,3,500,0.19235,0.29552,0.77752,0.66055,0.05156,0.0861,0.19086,0.04421,128,
pascal,20,3,5,500,0.34896,0.45315,0.84174,0.58716,0.00398,0.01058,0.34771,-0.0039,128,
pascal,20,5,3,500,0.16273,0.2362,0.75917,0.58716,0.00603,0.01306,0.16099,-0.00217,128,
pascal,20,5,5,500,0.23044,0.28451,0.78211,0.66055,0.06915,0.08613,0.22879,0.06126,128,
pascal,40,10,3,500,0.28394,0.39354,0.81651,0.66972,0.0235,0.06888,0.28265,0.0154,128,
pascal,40,10,5,500,0.26375,0.37178,0.80734,0.6789,0.0564,0.10866,0.26243,0.04935,128,
pascal,40,3,3,500,0.28653,0.3169,0.78211,0.61468,0.04733,0.04451,0.28531,0.04066,128,
pascal,40,3,5,500,0.46119,0.58929,0.88532,0.6789,0.06365,0.11294,0.46022,0.0568,128,
pascal,40,5,3,500,0.14836,0.16855,0.71789,0.75229,0.04665,0.13825,0.14656,0.03719,128,
pascal,40,5,5,500,0.43562,0.54893,0.87156,0.6422,0.03114,0.06058,0.43463,0.02352,128,
pascal,60,10,3,500,0.15076,0.21554,0.73394,0.70642,0.10594,0.15992,0.14929,0.09953,128,
pascal,60,10,5,500,0.17609,0.25438,0.76147,0.68807,0.05253,0.10935,0.17448,0.0449,128,
pascal,60,3,3,500,0.50883,0.6328,0.89908,0.74312,0.133,0.21841,0.50795,0.12648,128,
pascal,60,3,5,500,0.39979,0.51585,0.86009,0.66972,0.06092,0.10255,0.39875,0.05414,128,
pascal,60,5,3,500,0.23933,0.33992,0.79358,0.6789,0.05989,0.11092,0.23799,0.05294,128,
pascal,60,5,5,500,0.40511,0.52244,0.86239,0.70642,0.09582,0.15697,0.40407,0.08924,128,
pascal,80,10,3,500,0.21721,0.28806,0.78211,0.65138,0.05575,0.07495,0.21558,0.04786,128,
pascal,80,10,5,500,0.30263,0.42659,0.83028,0.6422,0.04295,0.06849,0.30135,0.03583,128,
pascal,80,3,3,500,0.48557,0.61238,0.8922,0.66972,0.04174,0.09092,0.48467,0.03445,128,
pascal,80,3,5,500,0.41058,0.52296,0.86239,0.6055,0.0103,0.02595,0.40955,0.00298,128,
pascal,80,5,3,500,0.49102,0.61928,0.8945,0.6055,0.01835,0.03261,0.49012,0.01136,128,
pascal,80,5,5,500,0.4132,0.53941,0.86927,0.66055,0.05663,0.09192,0.41213,0.04991,128,
pascal,40,5,1,500,0.3185,0.37726,0.81422,0.75229,0.14094,0.22517,0.31715,0.13395,40,
pascal,40,5,3,500,0.47627,0.59555,0.88761,0.59633,0.01155,0.02333,0.47532,0.00442,40,
pascal,40,5,5,500,0.31263,0.43052,0.83028,0.66972,0.05689,0.10086,0.3114,0.05003,40,
pascal,40,5,7,500,0.4697,0.58825,0.88532,0.66055,0.04033,0.08319,0.46874,0.03316,40,
pascal,40,5,9,500,0.30057,0.40834,0.82339,0.74312,0.12782,0.21358,0.29927,0.12106,40,
pascal,40,5,10,500,0.47829,0.60351,0.88991,0.65138,0.04876,0.08014,0.47735,0.04194,40,
pascal,40,5,12,500,0.24805,0.35495,0.80046,0.66055,0.04033,0.08319,0.24672,0.03316,40,
